CONSECUTIVO,DESCRIPCION,ACTIVIDAD,CALLE,NUMERO,ENTRE CALLES,COLONIA,LATITUD,LONGITUD,CONTRATO,RECURSOS DE PROYECTOS PARTICIPATIVO,ORIGEN DE LA INFORMACION ,FECHA DE INICIO,FECHA DE TERMINO,AVANCE,CARPETA ASFµLTICA M2,BOLARDOS PZ,REVO DE VELOCIDAD (REVO) PZ,BANQUETAS Y GUARNICIONES M2,LUMINARIAS PZ,IMPERMEABILIZACION M2,PINTURA M2,INSTALACION HIDRAULICA M,INSTALACION DE DRENAJE M,KIT DEJUEGOS EN PARQUES Y ESPACIOS PUBLICOS PZ,VEGETACION INSTALADA EN PARQUES Y ESPACIOS PUBLICOS,SISTEMA DE RIEGO EN PARQUES Y ESPACIOS PUBLICOS ,CENTROS Y ESPACIOS DEPORTIVOS,REHABILITACION DE ESCUELAS PUBLICAS,REHABILITACION DE CENDI,REHABILITACION DE TABLEROS ELECTRICOS EN MERCADOS PUBLICOS PZ,REHABILITACION DE BOMBAS HIDRAULICAS Y CISTERNAS EN MERCADOS PUBLICOS PZ,REHABILITACION DE SISTEMA DE DRENAJE EN MERCADOS PUBLICOS M,REHABILITACION DE TECHUMBRE EN MERCADOS PUBLICOS M,ESTUDIOS TECNICOS,RESPONSABLE DE PROPORCIONAR LA INFORMACION 
1,PROYECTO EJECUTIVO DE LA RED DE AGUA TRATADA EN EL CAMELLON DE HORACIO  DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO ,PROYECTO,CAMELLON DE HORACIO,SIN NUMERO,ENTRE   AVENIDA  FFCC DE CUERNAVACA Y CALZADA GENERAL MARIANO ESCOBEDO,POLANCO,19.43391299,-99.1950312,AMH-ADPROY-001-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/05,25/04/03,TERMINADO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,SI,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
2,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO I ,ASFALTO,FERNANDO ALENCASTRE,SIN NUMERO,ENTRE CALLE JUAN O DONOJU  Y CALLE ALICAMA,LOMAS DE CHAPULTEPEC IV,19.42143559,-99.20425209,AMH-LPNO-002-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/06,25/04/04,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
3,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO I ,ASFALTO, JUAN O DONOJU,SIN NUMERO,CALLE ACUEDUCTO R÷O HONDO Y CERRADA JUAN O DONOJU,LOMAS DE CHAPULTEPEC IV,19.42032124,-99.20488682,AMH-LPNO-002-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/07,25/04/05,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
4,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO I ,ASFALTO,AHUMADA VILLALON,SIN NUMERO,ENTRE CALLE JUAN O DONOJU Y CALLE FêLIX BERENGUER,LOMAS DE CHAPULTEPEC IV,19.42098912,-99.20524505,AMH-LPNO-002-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/08,25/04/06,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
5,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO II ,ASFALTO, BOQUES DE CAPULINES,SIN NUMERO,ENTRE CALLE BOSQUES DE REFORMA Y CALLE PASEO DE AHUEHUETES SUR,BOSQUE DE LAS LOMAS,19.40202318,-99.24207219,AMH-LPNO-003-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/09,25/04/07,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
6,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO III ,ASFALTO,LAGUNA DE TERMINOS,SIN NUMERO,CALLE MARINA NACIONAL Y CALLE LAGO MASK,ANAHUAC I,19.4434033,-99.1809956,AMH-LPNO-004-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/10,25/04/08,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
7,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO IV ,ASFALTO,RUBEN DARIO,SIN NUMERO,CALLE CAMPOS ELISEOS Y CALLE LAMARTINE,POLANCO V,19.42878853,-99.18532682,AMH-LPNO-005-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/11,25/04/09,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
8,REHABILITACION DE LA CARPETA ASFALTICA EN DIVERSAS COLONIAS UBICADAS DENTRO DEL PERIMETRO DE LA ALCALDIA MIGUEL HIDALGO IV ,ASFALTO, JUAN RACINE,SIN NUMERO,CALLE  AVENIDA  EJERCITO NACIONAL Y  AVENIDA  HOMERO,POLANCO I,19.4380698,-99.21243452,AMH-LPNO-005-25,NO,JUD DE SUPERVISION DE OBRAS POR CONTRATO ,25/03/12,25/04/10,PROCESO DE EJECUCION ,-,NO APLICA,-,-,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISI‡N Y CONTROL
9,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,SENECA ,65,P MASARYK CHARLES  DICKENS,PAMITAS POLANCO,19.4319,-99.2027,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/13,25/04/11,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
10,REHABILITACION DE LA CARPETA ASFALTICA  BACHEO Y MAPEO  EN DIVERSAS COLONIAS UBICADAS DENTRO DEL  PERIMETRO DE LA  ALCALDIA MIGUEL HIDALGO I ,BACHEO,CARLOS DICKENS,18,ESQUINA GOLDSMITH,POLANCO III SECCION ,19.43014,-99.20106,AMH-LPNO-006-25,NO,JUD DE SUPERVISI‡N DE OBRAS POR CONTRATO.,25/03/14,25/04/12,PROCESO DE EJECUCION ,-,NO APLICA,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO APLICA ,NO,SUBDIRECCION DE SUPERVISION Y CONTROL
